dataset,error,origin,t,gt_source,gt_target,src_detected,tgt_detected,correct_in_ilp,n_pred_children,parent_to_true_um,parent_to_chosen_um,chosen_nearer,angle_true_vs_chosen_deg,angle_vel_vs_true_deg,gt_parent_n_children,ilp_has_prob,p_true_ilp,p_chosen_ilp,p_chosen_final,prob_margin,true_edge_in_ilp,chosen_edge_in_ilp,src_ilp_id,tgt_ilp_id,chosen_ilp_id,p_true_model,p_chosen_model,rank_true_among_sources,n_sources_in_pair,above_threshold,died_where
6bba_05b6850b,FN,upstream_ilp_or_model,75,76000720,77000733,True,True,False,1,1.862,3.98,False,116.5,54.2,1,True,,0.8172481656074524,,,False,True,5439.0,5513.0,5510.0,0.283935546875,0.8173828125,2.0,71.0,False,below_threshold
6bba_05b6850b,FN,upstream_ilp_or_model,71,72000666,73000680,True,False,False,1,9.959,3.495,True,27.5,,1,True,,0.9510706663131714,,,False,True,5131.0,,5215.0,,0.951171875,,,,
6bba_05b6850b,FN,upstream_ilp_or_model,72,73000682,74000696,True,True,False,1,0.908,5.511,False,117.5,116.6,1,True,,0.8557993173599243,,,False,True,5232.0,5297.0,5304.0,0.045196533203125,0.85595703125,2.0,69.0,False,below_threshold
6bba_05b6850b,FN,post_processing_broke_it,64,65000591,66000604,True,True,True,1,8.226,6.359,True,128.4,144.6,1,True,0.9726734161376953,,,,True,False,4616.0,4701.0,4693.0,0.97265625,0.05487060546875,1.0,82.0,True,survived_to_ilp
6bba_05b6850b,FN,post_processing_broke_it,64,65000590,66000602,True,True,True,1,6.918,8.375,False,173.8,,1,True,0.9810857772827148,,,,True,False,4609.0,4694.0,4684.0,0.98095703125,0.14111328125,1.0,82.0,True,survived_to_ilp
6bba_05b6850b,FN,post_processing_broke_it,53,54000482,55000494,True,True,True,0,4.318,,,,,1,True,0.5201407670974731,,,,True,False,3766.0,3861.0,,0.52001953125,,1.0,83.0,True,survived_to_ilp
6bba_05b6850b,FN,upstream_ilp_or_model,0,1000010,2000017,False,True,False,0,3.495,,,,,1,True,,,,,False,False,,147.0,,,,,,,
6bba_05db0fb1,FN,upstream_ilp_or_model,22,23000356,24000373,True,True,False,1,2.334,6.423,False,122.6,150.5,1,True,,0.9092827439308167,,,False,True,18497.0,19343.0,19319.0,0.1922607421875,0.9091796875,2.0,826.0,False,below_threshold
6bba_05db0fb1,FN,post_processing_broke_it,27,28000433,29000451,True,True,True,1,7.199,5.45,True,103.1,,1,True,0.7017303109169006,,,,True,False,22048.0,22840.0,22923.0,0.70166015625,0.26953125,1.0,812.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,62,63001216,64001239,True,True,True,1,1.724,3.565,False,173.6,13.6,1,True,0.5786712169647217,,,,True,False,49452.0,50182.0,50252.0,0.57861328125,0.0997314453125,1.0,732.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,39,40000698,41000726,True,True,True,1,5.203,4.143,True,134.8,135.4,1,True,0.7712631821632385,,,,True,False,32043.0,32869.0,32751.0,0.771484375,0.00495147705078125,1.0,793.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,21,22000331,23000351,True,True,False,1,4.824,5.171,False,147.2,81.5,1,True,,0.9383373260498047,,,False,True,17508.0,18371.0,18336.0,0.010223388671875,0.9384765625,2.0,825.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,63,64001239,65001263,True,True,False,1,1.675,4.755,False,136.5,149.0,1,True,,0.6333638429641724,,,False,True,50182.0,50973.0,50911.0,0.0506591796875,0.63330078125,2.0,723.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,37,38000665,39000687,True,True,False,1,2.071,5.297,False,147.4,61.9,1,True,,0.8383578658103943,,,False,True,30630.0,31404.0,31442.0,0.01270294189453125,0.83837890625,5.0,819.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,19,20000284,21000302,True,True,False,0,7.761,,,,93.3,1,True,,,,,False,False,15678.0,16528.0,,0.423828125,,1.0,819.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,55,56001062,57001084,True,False,False,1,4.394,5.041,False,105.1,17.7,1,True,,0.8871612548828125,,,False,True,44284.0,,45008.0,,0.88720703125,,,,
6bba_05db0fb1,FN,post_processing_broke_it,25,26000400,27000420,True,True,True,1,5.297,2.958,True,144.2,62.5,1,True,0.8264482617378235,,,,True,False,20663.0,21484.0,21462.0,0.82666015625,0.045867919921875,1.0,824.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,55,56001073,57001093,True,True,True,2,2.031,6.906,False,104.3,90.0,1,True,0.8932009935379028,,,,True,False,44530.0,45261.0,45230.0,0.89306640625,0.1328125,1.0,739.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,25,26000397,27000414,True,True,False,1,7.279,1.817,True,84.3,,1,True,,0.5921322703361511,,,False,True,20177.0,21036.0,21035.0,0.07177734375,0.59228515625,3.0,824.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,82,83001622,84001644,True,True,False,1,0.908,5.139,False,135.0,,1,True,,0.9554234147071838,,,False,True,63878.0,64571.0,64572.0,0.341064453125,0.95556640625,2.0,673.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,57,58001105,59001130,True,True,False,1,1.817,9.084,False,28.4,3.4,1,True,,0.7387685775756836,,,False,True,45697.0,46444.0,46423.0,0.1336669921875,0.73876953125,2.0,742.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,30,31000492,32000517,True,True,False,1,7.141,4.909,True,46.2,41.9,1,True,,,,,False,False,24456.0,25248.0,25278.0,0.435546875,0.256103515625,1.0,815.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,93,94001837,95001854,True,True,False,1,6.513,3.811,True,62.3,172.8,1,True,,0.8472993969917297,,,False,True,71416.0,72201.0,72151.0,0.2412109375,0.84716796875,2.0,710.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,80,81001578,82001600,True,True,False,1,7.502,3.173,True,85.2,,1,True,,0.7853140830993652,,,False,True,62051.0,62688.0,62743.0,0.1214599609375,0.78515625,2.0,671.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,20,21000318,22000338,True,True,False,1,1.99,6.307,False,73.2,147.3,1,True,,0.881218671798706,,,False,True,16843.0,17639.0,17670.0,0.04083251953125,0.88134765625,4.0,836.0,False,below_threshold
6bba_05db0fb1,FN,post_processing_broke_it,61,62001192,63001212,True,True,True,0,2.438,,,,93.3,1,True,0.5291008949279785,,,,True,False,48672.0,49384.0,,0.529296875,,1.0,723.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,38,39000688,40000705,True,True,False,1,6.81,2.334,True,117.2,77.8,1,True,,,,,False,False,31429.0,32195.0,75827.0,0.39794921875,,1.0,809.0,False,below_threshold
6bba_05db0fb1,FN,post_processing_broke_it,78,79001542,80001559,True,True,True,1,0.908,3.811,False,149.1,180.0,1,True,0.7716233134269714,0.7716233134269714,,0.0,True,True,60915.0,61592.0,61592.0,0.771484375,0.771484375,1.0,681.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,38,39000689,40000706,True,True,True,1,8.522,3.04,True,40.1,72.6,1,True,0.8816168308258057,,,,True,False,31435.0,32198.0,32289.0,0.8818359375,0.1038818359375,1.0,809.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,25,26000410,27000427,True,True,True,1,4.083,5.203,False,161.4,62.9,1,True,0.8880085945129395,,,,True,False,20836.0,21641.0,21681.0,0.88818359375,0.07501220703125,1.0,824.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,93,94001841,95001860,True,True,True,1,6.513,4.394,True,108.1,157.6,1,True,0.9279745817184448,,,,True,False,71399.0,72158.0,72040.0,0.927734375,0.0018777847290039062,1.0,710.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,33,34000581,35000604,True,False,False,0,1.465,,,,11.3,1,True,,,,,False,False,27564.0,28400.0,,0.038360595703125,,2.0,825.0,False,below_threshold
6bba_05db0fb1,FN,post_processing_broke_it,92,93001825,94001843,True,True,True,1,6.551,2.633,True,129.2,83.6,1,True,0.6234741806983948,,,,True,False,70668.0,71335.0,71447.0,0.62353515625,0.023895263671875,1.0,676.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,25,26000406,27000425,True,True,False,1,6.411,2.071,True,100.7,15.5,1,True,,,,,False,False,20762.0,21590.0,21589.0,0.214111328125,0.0987548828125,3.0,824.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,32,33000538,34000560,True,True,False,1,3.98,3.854,True,82.6,90.0,1,True,,0.9013931751251221,,,False,True,26061.0,26893.0,26863.0,0.859375,0.9013671875,1.0,822.0,True,lost_greedy_cap_or_ilp
6bba_05db0fb1,FN,post_processing_broke_it,25,26000407,27000426,True,True,True,1,5.745,4.614,True,131.3,69.7,1,True,0.9043461084365845,,,,True,False,20787.0,21634.0,21588.0,0.904296875,0.05908203125,1.0,824.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,85,86001670,87001687,False,True,True,0,9.792,,,,,1,True,0.8828904628753662,,,,True,False,65731.0,66391.0,,0.8828125,,1.0,677.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,50,51000957,52000981,True,True,False,1,5.203,5.218,False,116.0,,1,True,,0.8594624400138855,,,False,True,40741.0,41553.0,41472.0,0.08843994140625,0.859375,3.0,761.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,56,57001084,58001105,False,True,False,0,3.094,,,,35.6,1,True,,,,,False,False,,45697.0,,,,,,,
6bba_05db0fb1,FN,post_processing_broke_it,34,35000604,36000627,False,True,True,0,0.0,,,,,1,True,0.7927084565162659,,,,True,False,28400.0,29210.0,,0.79248046875,,1.0,815.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,84,85001653,86001670,True,False,True,1,0.0,8.145,False,,,1,True,0.8588349223136902,0.8588349223136902,,0.0,True,True,65053.0,65731.0,65731.0,0.85888671875,0.85888671875,1.0,679.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,72,73001414,74001433,True,True,False,1,4.667,1.99,True,141.4,29.5,1,True,,0.8266793489456177,,,False,True,56540.0,57246.0,57244.0,0.257080078125,0.82666015625,1.0,702.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,19,20000297,21000318,True,True,False,1,2.958,3.833,False,98.4,52.4,1,True,,0.6526259183883667,,,False,True,15998.0,16843.0,16819.0,0.2027587890625,0.65283203125,2.0,819.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,58,59001141,60001162,True,True,False,1,0.406,7.13,False,46.9,45.0,1,True,,0.9355970621109009,,,False,True,46769.0,47470.0,47524.0,0.00502777099609375,0.935546875,3.0,730.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,65,66001293,67001312,True,True,False,1,2.031,5.585,False,85.0,,1,True,,0.5735466480255127,,,False,True,51796.0,52554.0,52493.0,0.1029052734375,0.57373046875,2.0,728.0,False,below_threshold
6bba_05db0fb1,FN,post_processing_broke_it,92,93001809,94001830,True,True,True,1,5.025,7.38,False,157.1,19.7,1,True,0.7327576875686646,,,,True,False,70628.0,71307.0,71426.0,0.73291015625,0.00830078125,1.0,676.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,29,30000470,31000491,True,True,True,1,1.817,5.76,False,80.9,64.9,1,True,0.5898740291595459,0.5898740291595459,,0.0,True,True,23511.0,24305.0,24305.0,0.58984375,0.58984375,1.0,811.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,74,75001454,76001475,True,True,True,1,0.0,4.942,False,,,1,True,0.7944624423980713,0.7944624423980713,,0.0,True,True,57937.0,58622.0,58622.0,0.79443359375,0.79443359375,1.0,688.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,39,40000695,41000719,True,True,True,1,6.214,4.375,True,66.4,,1,True,0.9015165567398071,,,,True,False,31899.0,32722.0,32679.0,0.9013671875,0.03582763671875,1.0,793.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,35,36000627,37000651,True,True,False,1,1.465,6.359,False,115.2,,1,True,,0.8024042248725891,,,False,True,29210.0,29999.0,30028.0,0.052398681640625,0.80224609375,3.0,809.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,75,76001481,77001505,True,True,False,1,2.725,7.324,False,43.3,,1,True,,0.8698871731758118,,,False,True,58917.0,59658.0,59617.0,0.52099609375,0.8701171875,1.0,682.0,True,lost_greedy_cap_or_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,59,60001162,61001181,True,True,False,1,2.031,7.589,False,164.5,90.0,1,True,,0.8612268567085266,,,False,True,47470.0,48244.0,48191.0,0.0079498291015625,0.861328125,5.0,743.0,False,below_threshold
6bba_05db0fb1,FN,post_processing_broke_it,93,94001843,95001859,True,True,True,1,5.155,4.241,True,149.4,167.8,1,True,0.8409019112586975,,,,True,False,71335.0,72100.0,72025.0,0.8408203125,0.161376953125,1.0,710.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,38,39000683,40000699,True,True,True,1,6.81,5.343,True,67.0,26.1,1,True,0.8304939866065979,,,,True,False,31275.0,32038.0,32077.0,0.83056640625,0.1463623046875,1.0,809.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,39,40000706,41000733,True,True,True,1,6.663,5.45,True,158.0,151.4,1,True,0.8098239302635193,,,,True,False,32198.0,33029.0,32933.0,0.81005859375,0.00933074951171875,1.0,793.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,48,49000908,50000928,True,False,False,1,7.708,5.658,True,177.4,115.1,1,True,,0.8199412226676941,,,False,True,38884.0,,39654.0,,0.81982421875,,,,
6bba_05db0fb1,FN,upstream_ilp_or_model,28,29000450,30000470,True,True,False,0,1.285,,,,34.4,1,True,,,,,False,False,22685.0,23511.0,,0.1534423828125,,2.0,845.0,False,below_threshold
6bba_05db0fb1,FN,post_processing_broke_it,30,31000493,32000518,True,True,True,1,6.423,3.656,True,161.6,42.5,1,True,0.7323501110076904,,,,True,False,24636.0,25435.0,25460.0,0.732421875,0.0227203369140625,1.0,815.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,38,39000686,40000704,True,True,True,0,6.626,,,,79.4,1,True,0.6615117788314819,,,,True,False,31361.0,32153.0,,0.66162109375,,1.0,809.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,50,51000948,52000969,True,True,False,1,7.187,4.083,True,61.4,,1,True,,,,,False,False,40454.0,41188.0,41230.0,0.035064697265625,0.0386962890625,4.0,761.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,51,52000971,53000994,True,True,False,1,4.022,5.887,False,117.4,47.1,1,True,,0.7074501514434814,,,False,True,41327.0,42085.0,42054.0,0.01027679443359375,0.70751953125,7.0,756.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,65,66001283,67001304,True,True,False,0,5.203,,,,,1,True,,,,,False,False,51543.0,52258.0,,0.46923828125,,1.0,728.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,77,78001530,79001553,True,True,False,0,1.724,,,,103.6,1,True,,,,,False,False,60440.0,61130.0,,0.1939697265625,,2.0,683.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,24,25000381,26000400,True,True,False,1,6.954,3.375,True,158.2,35.1,2,True,,0.627346396446228,,,False,True,19868.0,20663.0,20705.0,0.58544921875,0.62744140625,1.0,814.0,True,lost_greedy_cap_or_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,70,71001380,72001396,True,True,False,0,1.817,,,,53.1,1,True,,,,,False,False,55120.0,55829.0,,0.1800537109375,,2.0,711.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,21,22000338,23000356,True,True,False,1,2.601,7.199,False,61.0,63.5,1,True,,0.6661222577095032,,,False,True,17639.0,18497.0,18459.0,0.00791168212890625,0.666015625,5.0,825.0,False,below_threshold
6bba_05db0fb1,FN,post_processing_broke_it,72,73001415,74001434,True,True,True,1,3.854,6.423,False,53.1,45.0,1,True,0.7975444793701172,0.7975444793701172,,0.0,True,True,56538.0,57242.0,57242.0,0.79736328125,0.79736328125,1.0,702.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,87,88001703,89001725,True,True,False,1,7.095,3.35,True,89.2,27.8,1,True,,,,,False,False,66788.0,67462.0,67517.0,0.1544189453125,0.541015625,4.0,694.0,False,below_threshold
6bba_05db0fb1,FN,post_processing_broke_it,39,40000705,41000734,True,True,True,1,8.216,1.817,True,162.0,160.7,1,True,0.8626139163970947,,,,True,False,32195.0,33046.0,32958.0,0.86279296875,0.07135009765625,1.0,793.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,93,94001830,95001849,True,True,True,1,6.601,8.647,False,162.6,170.1,1,True,0.7900828123092651,,,,True,False,71307.0,72076.0,71943.0,0.7900390625,0.008148193359375,1.0,710.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,19,20000294,21000311,True,True,True,1,9.138,3.679,True,22.6,48.2,1,True,0.89531409740448,0.89531409740448,,0.0,True,True,15911.0,16728.0,16728.0,0.8955078125,0.8955078125,1.0,819.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,46,47000873,48000894,True,True,False,1,3.495,3.35,True,122.4,,1,True,,0.9229725003242493,,,False,True,37728.0,38431.0,38474.0,0.062469482421875,0.9228515625,2.0,765.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,80,81001590,82001603,True,True,False,1,8.306,3.495,True,106.5,,1,True,,0.744301974773407,,,False,True,62363.0,62981.0,63113.0,0.007740020751953125,0.744140625,6.0,671.0,False,below_threshold
6bba_05db0fb1,FN,post_processing_broke_it,92,93001821,94001835,True,True,True,1,6.663,3.634,True,91.6,79.5,1,True,0.920316219329834,,,,True,False,70606.0,71286.0,76070.0,0.92041015625,,1.0,676.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,87,88001706,89001726,True,True,False,1,9.691,5.42,True,124.2,26.2,1,True,,0.6647676229476929,,,False,True,66917.0,67560.0,67620.0,0.06060791015625,0.66455078125,5.0,694.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,67,68001330,69001347,False,True,False,0,3.275,,,,,1,True,,,,,False,False,,54027.0,,,,,,,
6bba_05db0fb1,FN,upstream_ilp_or_model,92,93001817,94001837,True,True,False,1,9.834,3.275,True,14.4,160.4,1,True,,0.8417989015579224,,,False,True,70757.0,71416.0,71441.0,0.29736328125,0.841796875,2.0,676.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,75,76001485,77001510,True,True,False,1,6.822,6.626,True,164.6,,1,True,,0.6924901008605957,,,False,True,58910.0,59669.0,59553.0,0.0848388671875,0.6923828125,2.0,682.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,51,52000988,53001011,True,True,False,0,3.35,,,,88.0,1,True,,,,,False,False,41714.0,42416.0,,0.3037109375,,2.0,756.0,False,below_threshold
6bba_05db0fb1,FN,post_processing_broke_it,38,39000680,40000697,True,True,True,1,8.326,2.298,True,94.0,79.9,1,True,0.654036819934845,,,,True,False,31214.0,31987.0,32054.0,0.65380859375,0.265869140625,1.0,809.0,True,survived_to_ilp
6bba_05db0fb1,FN,post_processing_broke_it,92,93001827,94001845,True,True,True,0,7.095,,,,170.4,1,True,0.9056698083877563,,,,True,False,70785.0,71459.0,,0.90576171875,,1.0,676.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,52,53001011,54001035,True,True,False,1,6.359,6.513,False,88.4,96.2,2,True,,0.9298657178878784,,,False,True,42416.0,43243.0,43161.0,0.0010700225830078125,0.9296875,10.0,747.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,80,81001577,82001599,True,True,False,1,6.894,5.218,True,67.3,,1,True,,,,,False,False,62026.0,62676.0,62675.0,0.4150390625,0.09326171875,1.0,671.0,False,below_threshold
6bba_05db0fb1,FN,post_processing_broke_it,37,38000660,39000683,True,True,True,1,1.862,4.755,False,110.7,,1,True,0.9302341938018799,0.9302341938018799,,0.0,True,True,30478.0,31275.0,31275.0,0.93017578125,0.93017578125,1.0,819.0,True,survived_to_ilp
6bba_05db0fb1,FN,upstream_ilp_or_model,10,11000146,12000160,True,True,False,1,5.688,2.601,True,117.9,54.0,1,True,,,,,False,False,8413.0,9228.0,9241.0,0.433349609375,0.1578369140625,1.0,792.0,False,below_threshold
6bba_05db0fb1,FN,upstream_ilp_or_model,49,50000928,51000949,False,True,False,0,0.0,,,,,1,True,,,,,False,False,,,,,,,,,
6bba_05db0fb1,FN,upstream_ilp_or_model,62,63001217,64001240,True,True,False,1,7.369,2.633,True,149.2,,2,True,,0.7885532379150391,,,False,True,49666.0,50328.0,50395.0,0.0270843505859375,0.78857421875,2.0,732.0,False,below_threshold
